SKU,LOCATION,ON_HAND,AS_IS,MIN_STOCK,UNIT_COST
7703-6/6,Koreatown,0,0,0,468.00
7703-6/6,Warehouse,2,1,0,468.00
7703-6/7,Warehouse,0,0,0,468.00
7704-3/3,Koreatown,0,0,0,220.00
7704-3/3,Warehouse,0,0,0,220.00
7704-4/6,Warehouse,0,0,0,303.00
7704-5/0,Warehouse,0,0,0,358.00
7704-6/6,Warehouse,0,0,0,468.00
7705-3/3,Warehouse,0,0,0,248.00
7705-36X84,Warehouse,0,0,0,263.00
7705-3X,Warehouse,0,0,0,263.00
7705-4/6,Warehouse,0,0,0,330.00
7705-4XL,Warehouse,0,0,0,385.00
7705-5/0,Koreatown,1,1,0,385.00
7705-5/0,West LA,1,1,0,385.00
7705-5/0,Studio City,1,1,0,385.00
7705-5/0,Warehouse,3,1,0,385.00
7705-6/6,Warehouse,1,0,0,495.00
7705-6/7,Warehouse,0,0,0,495.00
7705-66x80,West LA,0,0,0,595.00
7705-66x80,Warehouse,0,0,0,595.00
7706-3/3,Warehouse,2,0,0,455.00
7706-3X,Warehouse,0,0,0,470.00
7706-4/6,Warehouse,0,0,0,515.00
7706-4XL,Warehouse,0,0,0,535.00
7706-5/0,Koreatown,0,0,0,535.00
7706-5/0,West LA,0,0,0,535.00
7706-5/0,La Brea,0,0,0,535.00
7706-5/0,Studio City,1,1,0,535.00
7706-5/0,Warehouse,0,0,0,535.00
7706-6/6,Warehouse,0,0,0,665.00
7706-6/7,Warehouse,1,0,0,665.00
7707-3/3,Koreatown,1,1,0,455.00
7707-3/3,Warehouse,0,0,0,455.00
7707-36X84,Warehouse,0,0,0,470.00
7707-4/6,Warehouse,0,0,0,515.00
7707-5/0,Koreatown,0,0,0,535.00
7707-5/0,West LA,0,0,0,535.00
7707-5/0,La Brea,0,0,0,535.00
7707-5/0,Warehouse,0,0,0,535.00
7707-6/6,Warehouse,0,0,0,665.00
7707-6/7,Warehouse,0,0,0,665.00
7708-3/3,Warehouse,0,0,0,480.00
7708-3X,Warehouse,0,0,0,495.00
7708-4/6,Warehouse,0,0,0,550.00
7708-5/0,Koreatown,0,0,0,570.00
7708-5/0,West LA,0,0,0,570.00
7708-5/0,La Brea,0,0,0,570.00
7708-5/0,Studio City,1,1,0,570.00
7708-5/0,Warehouse,0,0,0,570.00
7708-6/6,Warehouse,1,0,0,700.00
7708-6/7,Warehouse,0,0,0,700.00
7915-3/3,Warehouse,0,0,0,265.00
7915-3X,Warehouse,0,0,0,285.00
7915-4/6,Warehouse,0,0,0,355.00
7915-5/0,Koreatown,1,1,0,410.00
7915-5/0,West LA,0,0,0,410.00
7915-5/0,La Brea,0,0,0,410.00
7915-5/0,Studio City,1,1,0,410.00
7915-5/0,Warehouse,2,1,0,410.00
7915-6/6,Warehouse,1,1,0,530.00
7915-6/7,Warehouse,0,0,0,530.00
7917-3/3,Warehouse,0,0,0,265.00
7917-3X,Warehouse,0,0,0,285.00
7917-4/6,Warehouse,0,0,0,355.00
7917-5/0,Koreatown,1,1,0,410.00
7917-5/0,Warehouse,0,0,0,410.00
7917-6/6,Warehouse,0,0,0,530.00
7917-6/7,Warehouse,0,0,0,530.00
7919-3/3,Warehouse,0,0,0,295.00
7919-36X84,Warehouse,0,0,0,315.00
7919-3X,Warehouse,0,0,0,315.00
7919-4/6,Warehouse,0,0,0,385.00
7919-4XL,Warehouse,0,0,0,455.00
7919-5/0,Koreatown,1,1,0,455.00
7919-5/0,West LA,1,1,0,455.00
7919-5/0,La Brea,1,1,0,455.00
7919-5/0,Studio City,1,1,0,455.00
7919-5/0,Warehouse,2,0,0,455.00
7919-6/6,Warehouse,1,0,0,565.00
7919-6/7,Warehouse,0,0,0,565.00
7921-3/3,Warehouse,0,0,0,265.00
7921-3X,Warehouse,0,0,0,285.00
7921-4/6,Warehouse,0,0,0,355.00
7921-5/0,Koreatown,1,1,0,410.00
7921-5/0,West LA,1,1,0,410.00
7921-5/0,Warehouse,0,0,0,410.00
7921-6/6,Warehouse,0,0,0,530.00
7921-6/7,Warehouse,0,0,0,530.00
8070-3X,Warehouse,0,0,0,80.00
8070-5/0,Warehouse,0,0,0,100.00
8270-5/0,Warehouse,0,0,0,100.00
